date_key	year	quarter	month	month_name	day	day_of_week	iso_week
2023-12-04	2023	4	12	December	4	Monday	49
2023-12-05	2023	4	12	December	5	Tuesday	49
2023-12-06	2023	4	12	December	6	Wednesday	49
2023-12-07	2023	4	12	December	7	Thursday	49
2023-12-08	2023	4	12	December	8	Friday	49
2023-12-09	2023	4	12	December	9	Saturday	49
2023-12-10	2023	4	12	December	10	Sunday	49
2023-12-11	2023	4	12	December	11	Monday	50
2023-12-12	2023	4	12	December	12	Tuesday	50
2023-12-13	2023	4	12	December	13	Wednesday	50
2023-12-14	2023	4	12	December	14	Thursday	50
2023-12-15	2023	4	12	December	15	Friday	50
2023-12-16	2023	4	12	December	16	Saturday	50
2023-12-17	2023	4	12	December	17	Sunday	50
2023-12-18	2023	4	12	December	18	Monday	51
2023-12-19	2023	4	12	December	19	Tuesday	51
2023-12-20	2023	4	12	December	20	Wednesday	51
2023-12-21	2023	4	12	December	21	Thursday	51
2023-12-22	2023	4	12	December	22	Friday	51
2023-12-23	2023	4	12	December	23	Saturday	51
2023-12-24	2023	4	12	December	24	Sunday	51
2023-12-25	2023	4	12	December	25	Monday	52
2023-12-26	2023	4	12	December	26	Tuesday	52
2023-12-27	2023	4	12	December	27	Wednesday	52
2023-12-28	2023	4	12	December	28	Thursday	52
2023-12-29	2023	4	12	December	29	Friday	52
2023-12-30	2023	4	12	December	30	Saturday	52
2023-12-31	2023	4	12	December	31	Sunday	52
2024-01-01	2024	1	1	January	1	Monday	1
2024-01-02	2024	1	1	January	2	Tuesday	1
2024-01-03	2024	1	1	January	3	Wednesday	1
2024-01-04	2024	1	1	January	4	Thursday	1
2024-01-05	2024	1	1	January	5	Friday	1
2024-01-06	2024	1	1	January	6	Saturday	1
2024-01-07	2024	1	1	January	7	Sunday	1
2024-01-08	2024	1	1	January	8	Monday	2
2024-01-09	2024	1	1	January	9	Tuesday	2
2024-01-10	2024	1	1	January	10	Wednesday	2
2024-01-11	2024	1	1	January	11	Thursday	2
2024-01-12	2024	1	1	January	12	Friday	2
2024-01-13	2024	1	1	January	13	Saturday	2
2024-01-14	2024	1	1	January	14	Sunday	2
2024-01-15	2024	1	1	January	15	Monday	3
2024-01-16	2024	1	1	January	16	Tuesday	3
2024-01-17	2024	1	1	January	17	Wednesday	3
2024-01-18	2024	1	1	January	18	Thursday	3
2024-01-19	2024	1	1	January	19	Friday	3
2024-01-20	2024	1	1	January	20	Saturday	3
2024-01-21	2024	1	1	January	21	Sunday	3
2024-01-22	2024	1	1	January	22	Monday	4
2024-01-23	2024	1	1	January	23	Tuesday	4
2024-01-24	2024	1	1	January	24	Wednesday	4
2024-01-25	2024	1	1	January	25	Thursday	4
2024-01-26	2024	1	1	January	26	Friday	4
2024-01-27	2024	1	1	January	27	Saturday	4
2024-01-28	2024	1	1	January	28	Sunday	4
2024-01-29	2024	1	1	January	29	Monday	5
2024-01-30	2024	1	1	January	30	Tuesday	5
2024-01-31	2024	1	1	January	31	Wednesday	5
2024-02-01	2024	1	2	February	1	Thursday	5
2024-02-02	2024	1	2	February	2	Friday	5
2024-02-03	2024	1	2	February	3	Saturday	5
2024-02-04	2024	1	2	February	4	Sunday	5
2024-02-05	2024	1	2	February	5	Monday	6
2024-02-06	2024	1	2	February	6	Tuesday	6
2024-02-07	2024	1	2	February	7	Wednesday	6
2024-02-08	2024	1	2	February	8	Thursday	6
2024-02-09	2024	1	2	February	9	Friday	6
2024-02-10	2024	1	2	February	10	Saturday	6
2024-02-11	2024	1	2	February	11	Sunday	6
2024-02-12	2024	1	2	February	12	Monday	7
2024-02-13	2024	1	2	February	13	Tuesday	7
2024-02-14	2024	1	2	February	14	Wednesday	7
2024-02-15	2024	1	2	February	15	Thursday	7
2024-02-16	2024	1	2	February	16	Friday	7
2024-02-17	2024	1	2	February	17	Saturday	7
2024-02-18	2024	1	2	February	18	Sunday	7
2024-02-19	2024	1	2	February	19	Monday	8
2024-02-20	2024	1	2	February	20	Tuesday	8
2024-02-21	2024	1	2	February	21	Wednesday	8
2024-02-22	2024	1	2	February	22	Thursday	8
2024-02-23	2024	1	2	February	23	Friday	8
2024-02-24	2024	1	2	February	24	Saturday	8
2024-02-25	2024	1	2	February	25	Sunday	8
2024-02-26	2024	1	2	February	26	Monday	9
2024-02-27	2024	1	2	February	27	Tuesday	9
2024-02-28	2024	1	2	February	28	Wednesday	9
2024-02-29	2024	1	2	February	29	Thursday	9
2024-03-01	2024	1	3	March	1	Friday	9
2024-03-02	2024	1	3	March	2	Saturday	9
2024-03-03	2024	1	3	March	3	Sunday	9
2024-03-04	2024	1	3	March	4	Monday	10
2024-03-05	2024	1	3	March	5	Tuesday	10
2024-03-06	2024	1	3	March	6	Wednesday	10
2024-03-07	2024	1	3	March	7	Thursday	10
2024-03-08	2024	1	3	March	8	Friday	10
2024-03-09	2024	1	3	March	9	Saturday	10
2024-03-10	2024	1	3	March	10	Sunday	10
2024-03-11	2024	1	3	March	11	Monday	11
2024-03-12	2024	1	3	March	12	Tuesday	11
2024-03-13	2024	1	3	March	13	Wednesday	11
2024-03-14	2024	1	3	March	14	Thursday	11
2024-03-15	2024	1	3	March	15	Friday	11
2024-03-16	2024	1	3	March	16	Saturday	11
2024-03-17	2024	1	3	March	17	Sunday	11
2024-03-18	2024	1	3	March	18	Monday	12
2024-03-19	2024	1	3	March	19	Tuesday	12
2024-03-20	2024	1	3	March	20	Wednesday	12
2024-03-21	2024	1	3	March	21	Thursday	12
2024-03-22	2024	1	3	March	22	Friday	12
2024-03-23	2024	1	3	March	23	Saturday	12
2024-03-24	2024	1	3	March	24	Sunday	12
2024-03-25	2024	1	3	March	25	Monday	13
2024-03-26	2024	1	3	March	26	Tuesday	13
2024-03-27	2024	1	3	March	27	Wednesday	13
2024-03-28	2024	1	3	March	28	Thursday	13
2024-03-29	2024	1	3	March	29	Friday	13
2024-03-30	2024	1	3	March	30	Saturday	13
2024-03-31	2024	1	3	March	31	Sunday	13
2024-04-01	2024	2	4	April	1	Monday	14
2024-04-02	2024	2	4	April	2	Tuesday	14
2024-04-03	2024	2	4	April	3	Wednesday	14
2024-04-04	2024	2	4	April	4	Thursday	14
2024-04-05	2024	2	4	April	5	Friday	14
2024-04-06	2024	2	4	April	6	Saturday	14
2024-04-07	2024	2	4	April	7	Sunday	14
2024-04-08	2024	2	4	April	8	Monday	15
2024-04-09	2024	2	4	April	9	Tuesday	15
2024-04-10	2024	2	4	April	10	Wednesday	15
2024-04-11	2024	2	4	April	11	Thursday	15
2024-04-12	2024	2	4	April	12	Friday	15
2024-04-13	2024	2	4	April	13	Saturday	15
2024-04-14	2024	2	4	April	14	Sunday	15
2024-04-15	2024	2	4	April	15	Monday	16
2024-04-16	2024	2	4	April	16	Tuesday	16
2024-04-17	2024	2	4	April	17	Wednesday	16
2024-04-18	2024	2	4	April	18	Thursday	16
2024-04-19	2024	2	4	April	19	Friday	16
2024-04-20	2024	2	4	April	20	Saturday	16
2024-04-21	2024	2	4	April	21	Sunday	16
2024-04-22	2024	2	4	April	22	Monday	17
2024-04-23	2024	2	4	April	23	Tuesday	17
2024-04-24	2024	2	4	April	24	Wednesday	17
2024-04-25	2024	2	4	April	25	Thursday	17
2024-04-26	2024	2	4	April	26	Friday	17
2024-04-27	2024	2	4	April	27	Saturday	17
2024-04-28	2024	2	4	April	28	Sunday	17
2024-04-29	2024	2	4	April	29	Monday	18
2024-04-30	2024	2	4	April	30	Tuesday	18
2024-05-01	2024	2	5	May	1	Wednesday	18
2024-05-02	2024	2	5	May	2	Thursday	18
2024-05-03	2024	2	5	May	3	Friday	18
2024-05-04	2024	2	5	May	4	Saturday	18
2024-05-05	2024	2	5	May	5	Sunday	18
2024-05-06	2024	2	5	May	6	Monday	19
2024-05-07	2024	2	5	May	7	Tuesday	19
2024-05-08	2024	2	5	May	8	Wednesday	19
2024-05-09	2024	2	5	May	9	Thursday	19
2024-05-10	2024	2	5	May	10	Friday	19
2024-05-11	2024	2	5	May	11	Saturday	19
2024-05-12	2024	2	5	May	12	Sunday	19
2024-05-13	2024	2	5	May	13	Monday	20
2024-05-14	2024	2	5	May	14	Tuesday	20
2024-05-15	2024	2	5	May	15	Wednesday	20
2024-05-16	2024	2	5	May	16	Thursday	20
2024-05-17	2024	2	5	May	17	Friday	20
2024-05-18	2024	2	5	May	18	Saturday	20
2024-05-19	2024	2	5	May	19	Sunday	20
2024-05-20	2024	2	5	May	20	Monday	21
2024-05-21	2024	2	5	May	21	Tuesday	21
2024-05-22	2024	2	5	May	22	Wednesday	21
2024-05-23	2024	2	5	May	23	Thursday	21
2024-05-24	2024	2	5	May	24	Friday	21
2024-05-25	2024	2	5	May	25	Saturday	21
2024-05-26	2024	2	5	May	26	Sunday	21
2024-05-27	2024	2	5	May	27	Monday	22
2024-05-28	2024	2	5	May	28	Tuesday	22
2024-05-29	2024	2	5	May	29	Wednesday	22
2024-05-30	2024	2	5	May	30	Thursday	22
2024-05-31	2024	2	5	May	31	Friday	22
2024-06-01	2024	2	6	June	1	Saturday	22
2024-06-02	2024	2	6	June	2	Sunday	22
2024-06-03	2024	2	6	June	3	Monday	23
2024-06-04	2024	2	6	June	4	Tuesday	23
2024-06-05	2024	2	6	June	5	Wednesday	23
2024-06-06	2024	2	6	June	6	Thursday	23
2024-06-07	2024	2	6	June	7	Friday	23
2024-06-08	2024	2	6	June	8	Saturday	23
2024-06-09	2024	2	6	June	9	Sunday	23
2024-06-10	2024	2	6	June	10	Monday	24
2024-06-11	2024	2	6	June	11	Tuesday	24
2024-06-12	2024	2	6	June	12	Wednesday	24
2024-06-13	2024	2	6	June	13	Thursday	24
2024-06-14	2024	2	6	June	14	Friday	24
2024-06-15	2024	2	6	June	15	Saturday	24
2024-06-16	2024	2	6	June	16	Sunday	24
2024-06-17	2024	2	6	June	17	Monday	25
2024-06-18	2024	2	6	June	18	Tuesday	25
2024-06-19	2024	2	6	June	19	Wednesday	25
2024-06-20	2024	2	6	June	20	Thursday	25
2024-06-21	2024	2	6	June	21	Friday	25
2024-06-22	2024	2	6	June	22	Saturday	25
2024-06-23	2024	2	6	June	23	Sunday	25
2024-06-24	2024	2	6	June	24	Monday	26
2024-06-25	2024	2	6	June	25	Tuesday	26
2024-06-26	2024	2	6	June	26	Wednesday	26
2024-06-27	2024	2	6	June	27	Thursday	26
2024-06-28	2024	2	6	June	28	Friday	26
2024-06-29	2024	2	6	June	29	Saturday	26
2024-06-30	2024	2	6	June	30	Sunday	26
2024-07-01	2024	3	7	July	1	Monday	27
2024-07-02	2024	3	7	July	2	Tuesday	27
2024-07-03	2024	3	7	July	3	Wednesday	27
2024-07-04	2024	3	7	July	4	Thursday	27
2024-07-05	2024	3	7	July	5	Friday	27
2024-07-06	2024	3	7	July	6	Saturday	27
2024-07-07	2024	3	7	July	7	Sunday	27
2024-07-08	2024	3	7	July	8	Monday	28
2024-07-09	2024	3	7	July	9	Tuesday	28
2024-07-10	2024	3	7	July	10	Wednesday	28
2024-07-11	2024	3	7	July	11	Thursday	28
2024-07-12	2024	3	7	July	12	Friday	28
2024-07-13	2024	3	7	July	13	Saturday	28
2024-07-14	2024	3	7	July	14	Sunday	28
2024-07-15	2024	3	7	July	15	Monday	29
2024-07-16	2024	3	7	July	16	Tuesday	29
2024-07-17	2024	3	7	July	17	Wednesday	29
2024-07-18	2024	3	7	July	18	Thursday	29
2024-07-19	2024	3	7	July	19	Friday	29
2024-07-20	2024	3	7	July	20	Saturday	29
2024-07-21	2024	3	7	July	21	Sunday	29
2024-07-22	2024	3	7	July	22	Monday	30
2024-07-23	2024	3	7	July	23	Tuesday	30
2024-07-24	2024	3	7	July	24	Wednesday	30
2024-07-25	2024	3	7	July	25	Thursday	30
2024-07-26	2024	3	7	July	26	Friday	30
2024-07-27	2024	3	7	July	27	Saturday	30
2024-07-28	2024	3	7	July	28	Sunday	30
2024-07-29	2024	3	7	July	29	Monday	31
2024-07-30	2024	3	7	July	30	Tuesday	31
2024-07-31	2024	3	7	July	31	Wednesday	31
2024-08-01	2024	3	8	August	1	Thursday	31
2024-08-02	2024	3	8	August	2	Friday	31
2024-08-03	2024	3	8	August	3	Saturday	31
2024-08-04	2024	3	8	August	4	Sunday	31
2024-08-05	2024	3	8	August	5	Monday	32
2024-08-06	2024	3	8	August	6	Tuesday	32
2024-08-07	2024	3	8	August	7	Wednesday	32
2024-08-08	2024	3	8	August	8	Thursday	32
2024-08-09	2024	3	8	August	9	Friday	32
2024-08-10	2024	3	8	August	10	Saturday	32
2024-08-11	2024	3	8	August	11	Sunday	32
2024-08-12	2024	3	8	August	12	Monday	33
2024-08-13	2024	3	8	August	13	Tuesday	33
2024-08-14	2024	3	8	August	14	Wednesday	33
2024-08-15	2024	3	8	August	15	Thursday	33
2024-08-16	2024	3	8	August	16	Friday	33
2024-08-17	2024	3	8	August	17	Saturday	33
2024-08-18	2024	3	8	August	18	Sunday	33
2024-08-19	2024	3	8	August	19	Monday	34
2024-08-20	2024	3	8	August	20	Tuesday	34
2024-08-21	2024	3	8	August	21	Wednesday	34
2024-08-22	2024	3	8	August	22	Thursday	34
2024-08-23	2024	3	8	August	23	Friday	34
2024-08-24	2024	3	8	August	24	Saturday	34
2024-08-25	2024	3	8	August	25	Sunday	34
2024-08-26	2024	3	8	August	26	Monday	35
2024-08-27	2024	3	8	August	27	Tuesday	35
2024-08-28	2024	3	8	August	28	Wednesday	35
2024-08-29	2024	3	8	August	29	Thursday	35
2024-08-30	2024	3	8	August	30	Friday	35
2024-08-31	2024	3	8	August	31	Saturday	35
2024-09-01	2024	3	9	September	1	Sunday	35
2024-09-02	2024	3	9	September	2	Monday	36
2024-09-03	2024	3	9	September	3	Tuesday	36
2024-09-04	2024	3	9	September	4	Wednesday	36
2024-09-05	2024	3	9	September	5	Thursday	36
2024-09-06	2024	3	9	September	6	Friday	36
2024-09-07	2024	3	9	September	7	Saturday	36
2024-09-08	2024	3	9	September	8	Sunday	36
2024-09-09	2024	3	9	September	9	Monday	37
2024-09-10	2024	3	9	September	10	Tuesday	37
2024-09-11	2024	3	9	September	11	Wednesday	37
2024-09-12	2024	3	9	September	12	Thursday	37
2024-09-13	2024	3	9	September	13	Friday	37
2024-09-14	2024	3	9	September	14	Saturday	37
2024-09-15	2024	3	9	September	15	Sunday	37
2024-09-16	2024	3	9	September	16	Monday	38
2024-09-17	2024	3	9	September	17	Tuesday	38
2024-09-18	2024	3	9	September	18	Wednesday	38
2024-09-19	2024	3	9	September	19	Thursday	38
2024-09-20	2024	3	9	September	20	Friday	38
2024-09-21	2024	3	9	September	21	Saturday	38
2024-09-22	2024	3	9	September	22	Sunday	38
2024-09-23	2024	3	9	September	23	Monday	39
2024-09-24	2024	3	9	September	24	Tuesday	39
2024-09-25	2024	3	9	September	25	Wednesday	39
2024-09-26	2024	3	9	September	26	Thursday	39
2024-09-27	2024	3	9	September	27	Friday	39
2024-09-28	2024	3	9	September	28	Saturday	39
2024-09-29	2024	3	9	September	29	Sunday	39
2024-09-30	2024	3	9	September	30	Monday	40
2024-10-01	2024	4	10	October	1	Tuesday	40
2024-10-02	2024	4	10	October	2	Wednesday	40
2024-10-03	2024	4	10	October	3	Thursday	40
2024-10-04	2024	4	10	October	4	Friday	40
2024-10-05	2024	4	10	October	5	Saturday	40
2024-10-06	2024	4	10	October	6	Sunday	40
2024-10-07	2024	4	10	October	7	Monday	41
2024-10-08	2024	4	10	October	8	Tuesday	41
2024-10-09	2024	4	10	October	9	Wednesday	41
2024-10-10	2024	4	10	October	10	Thursday	41
2024-10-11	2024	4	10	October	11	Friday	41
2024-10-12	2024	4	10	October	12	Saturday	41
2024-10-13	2024	4	10	October	13	Sunday	41
2024-10-14	2024	4	10	October	14	Monday	42
2024-10-15	2024	4	10	October	15	Tuesday	42
2024-10-16	2024	4	10	October	16	Wednesday	42
2024-10-17	2024	4	10	October	17	Thursday	42
2024-10-18	2024	4	10	October	18	Friday	42
2024-10-19	2024	4	10	October	19	Saturday	42
2024-10-20	2024	4	10	October	20	Sunday	42
2024-10-21	2024	4	10	October	21	Monday	43
2024-10-22	2024	4	10	October	22	Tuesday	43
2024-10-23	2024	4	10	October	23	Wednesday	43
2024-10-24	2024	4	10	October	24	Thursday	43
2024-10-25	2024	4	10	October	25	Friday	43
2024-10-26	2024	4	10	October	26	Saturday	43
2024-10-27	2024	4	10	October	27	Sunday	43
2024-10-28	2024	4	10	October	28	Monday	44
2024-10-29	2024	4	10	October	29	Tuesday	44
2024-10-30	2024	4	10	October	30	Wednesday	44
2024-10-31	2024	4	10	October	31	Thursday	44
2024-11-01	2024	4	11	November	1	Friday	44
2024-11-02	2024	4	11	November	2	Saturday	44
2024-11-03	2024	4	11	November	3	Sunday	44
2024-11-04	2024	4	11	November	4	Monday	45
2024-11-05	2024	4	11	November	5	Tuesday	45
2024-11-06	2024	4	11	November	6	Wednesday	45
2024-11-07	2024	4	11	November	7	Thursday	45
2024-11-08	2024	4	11	November	8	Friday	45
2024-11-09	2024	4	11	November	9	Saturday	45
2024-11-10	2024	4	11	November	10	Sunday	45
2024-11-11	2024	4	11	November	11	Monday	46
2024-11-12	2024	4	11	November	12	Tuesday	46
2024-11-13	2024	4	11	November	13	Wednesday	46
2024-11-14	2024	4	11	November	14	Thursday	46
2024-11-15	2024	4	11	November	15	Friday	46
2024-11-16	2024	4	11	November	16	Saturday	46
2024-11-17	2024	4	11	November	17	Sunday	46
2024-11-18	2024	4	11	November	18	Monday	47
2024-11-19	2024	4	11	November	19	Tuesday	47
2024-11-20	2024	4	11	November	20	Wednesday	47
2024-11-21	2024	4	11	November	21	Thursday	47
2024-11-22	2024	4	11	November	22	Friday	47
2024-11-23	2024	4	11	November	23	Saturday	47
2024-11-24	2024	4	11	November	24	Sunday	47
2024-11-25	2024	4	11	November	25	Monday	48
2024-11-26	2024	4	11	November	26	Tuesday	48
2024-11-27	2024	4	11	November	27	Wednesday	48
2024-11-28	2024	4	11	November	28	Thursday	48
2024-11-29	2024	4	11	November	29	Friday	48
2024-11-30	2024	4	11	November	30	Saturday	48
2024-12-01	2024	4	12	December	1	Sunday	48
2024-12-02	2024	4	12	December	2	Monday	49
2024-12-03	2024	4	12	December	3	Tuesday	49
2024-12-04	2024	4	12	December	4	Wednesday	49
2024-12-05	2024	4	12	December	5	Thursday	49
2024-12-06	2024	4	12	December	6	Friday	49
2024-12-07	2024	4	12	December	7	Saturday	49
2024-12-08	2024	4	12	December	8	Sunday	49
2024-12-09	2024	4	12	December	9	Monday	50
2024-12-10	2024	4	12	December	10	Tuesday	50
2024-12-11	2024	4	12	December	11	Wednesday	50
2024-12-12	2024	4	12	December	12	Thursday	50
2024-12-13	2024	4	12	December	13	Friday	50
2024-12-14	2024	4	12	December	14	Saturday	50
2024-12-15	2024	4	12	December	15	Sunday	50
2024-12-16	2024	4	12	December	16	Monday	51
2024-12-17	2024	4	12	December	17	Tuesday	51
2024-12-18	2024	4	12	December	18	Wednesday	51
2024-12-19	2024	4	12	December	19	Thursday	51
2024-12-20	2024	4	12	December	20	Friday	51
2024-12-21	2024	4	12	December	21	Saturday	51
2024-12-22	2024	4	12	December	22	Sunday	51
2024-12-23	2024	4	12	December	23	Monday	52
2024-12-24	2024	4	12	December	24	Tuesday	52
2024-12-25	2024	4	12	December	25	Wednesday	52
2024-12-26	2024	4	12	December	26	Thursday	52
2024-12-27	2024	4	12	December	27	Friday	52
2024-12-28	2024	4	12	December	28	Saturday	52
2024-12-29	2024	4	12	December	29	Sunday	52
2024-12-30	2024	4	12	December	30	Monday	1
2024-12-31	2024	4	12	December	31	Tuesday	1
2025-01-01	2025	1	1	January	1	Wednesday	1
2025-01-02	2025	1	1	January	2	Thursday	1
2025-01-03	2025	1	1	January	3	Friday	1
2025-01-04	2025	1	1	January	4	Saturday	1
2025-01-05	2025	1	1	January	5	Sunday	1
2025-01-06	2025	1	1	January	6	Monday	2
2025-01-07	2025	1	1	January	7	Tuesday	2
2025-01-08	2025	1	1	January	8	Wednesday	2
2025-01-09	2025	1	1	January	9	Thursday	2
2025-01-10	2025	1	1	January	10	Friday	2
2025-01-11	2025	1	1	January	11	Saturday	2
2025-01-12	2025	1	1	January	12	Sunday	2
2025-01-13	2025	1	1	January	13	Monday	3
2025-01-14	2025	1	1	January	14	Tuesday	3
2025-01-15	2025	1	1	January	15	Wednesday	3
2025-01-16	2025	1	1	January	16	Thursday	3
2025-01-17	2025	1	1	January	17	Friday	3
2025-01-18	2025	1	1	January	18	Saturday	3
2025-01-19	2025	1	1	January	19	Sunday	3
2025-01-20	2025	1	1	January	20	Monday	4
2025-01-21	2025	1	1	January	21	Tuesday	4
2025-01-22	2025	1	1	January	22	Wednesday	4
2025-01-23	2025	1	1	January	23	Thursday	4
2025-01-24	2025	1	1	January	24	Friday	4
2025-01-25	2025	1	1	January	25	Saturday	4
2025-01-26	2025	1	1	January	26	Sunday	4
2025-01-27	2025	1	1	January	27	Monday	5
2025-01-28	2025	1	1	January	28	Tuesday	5
2025-01-29	2025	1	1	January	29	Wednesday	5
